Title,Genre,Premiere,Runtime,IMDB Score,Language,Main Genre
The Most Assassinated Woman in the World,thriller,2018-09-07,102,5.3,French,Thrillers
Things Heard & Seen,horror,2021-04-29,121,5.3,English,Horror & Mystery
"To Each, Her Own",romantic comedy,2018-06-24,95,5.3,French,Romance
Who Would You Take to a Deserted Island?,drama,2019-04-12,93,5.3,Spanish,Dramas
XOXO,drama,2016-08-26,92,5.3,English,Dramas
A Babysitter's Guide to Monster Hunting,action fantasy,2020-10-15,98,5.4,English,Action & Adventure
A Christmas Prince: The Royal Baby,christmas romance,2019-12-05,85,5.4,English,Christmas
Despite Everything,comedy,2019-05-03,78,5.4,Spanish,Comedies
Dolly Kitty and Those Twinkling Stars,drama,2020-09-18,120,5.4,Hindi,Dramas
Freaks: You're One of Us,action,2020-09-02,92,5.4,German,Action & Adventure
"Game Over, Man!",action comedy,2018-03-23,101,5.4,English,Action & Adventure
Guilty,thriller,2020-03-06,119,5.4,Hindi,Thrillers
In the Tall Grass,horror,2019-10-04,101,5.4,English,Horror & Mystery
Madame Claude,drama,2021-04-02,112,5.4,French,Dramas
Naked,comedy,2017-08-11,96,5.4,English,Comedies
Outside the Wire,action fantasy,2021-01-15,114,5.4,English,Action & Adventure
The Princess Switch: Switched Again,christmas romance,2020-11-19,97,5.4,English,Christmas
Under the Riccione Sun,romantic teen drama,2020-07-01,101,5.4,Italian,Romance
A Very Murray Christmas,christmas musical,2015-12-04,56,5.5,English,Christmas
Been So Long,drama musical,2018-10-26,100,5.5,English,Dramas
Dead Kids,thriller,2019-12-01,94,5.5,Filipino,Thrillers
Get the Grift,comedy,2021-04-28,94,5.5,Portuguese,Comedies
Ghosts of Sugar Land,documentary,,21,5.5,English,Shorts
House Arrest,comedy,2019-11-15,104,5.5,Hindi,Comedies
Kevin Hart's Guide to Black History,variety show,2019-02-08,63,5.5,English,TV show
Love Wedding Repeat,romantic comedy,2020-04-10,100,5.5,English,Romance
Mute,sci-fi mystery,2018-02-23,126,5.5,English,Sci-Fi
ÃÂlÃÂ²t?rÃÂ©,crime drama,2020-10-02,106,5.5,English,Thrillers
Red Dot,thriller,2021-02-11,86,5.5,Swedish,Thrillers
Ride or Die,psychological thriller drama,2021-04-15,142,5.5,Japanese,Thrillers
Step Sisters,comedy,2018-01-19,108,5.5,English,Comedies
The Cloverfield Paradox,sci-fi,2018-02-04,102,5.5,English,Sci-Fi
The Knight Before Christmas,christmas romance,2019-11-21,92,5.5,English,Christmas
The Legacy of a Whitetail Deer Hunter,adventure comedy,2018-07-06,83,5.5,English,Action & Adventure
The Package,dark comedy,2018-08-10,94,5.5,English,Comedies
Unicorn Store,comedy,2019-04-05,92,5.5,English,Comedies
Wine Country,comedy,2019-05-10,103,5.5,English,Comedies
Bomb Scared,dark comedy,2017-10-12,89,5.6,Spanish/Basque,Comedies
Brahman Naman,comedy,2016-07-07,95,5.6,English,Comedies
Double Dad,comedy drama,2021-01-15,103,5.6,Portuguese,Comedies
Falling Inn Love,romantic comedy,2019-08-29,97,5.6,English,Romance
Hold the Dark,thriller,2018-09-28,125,5.6,English,Thrillers
"Love, Guaranteed",romantic comedy,2020-09-03,91,5.6,English,Romance
One-Way to Tomorrow,romance,2020-06-19,90,5.6,Turkish,Romance
Sarah Cooper: Everything's Fine,variety show,2020-10-27,49,5.6,English,TV show
The Last Laugh,comedy drama,2019-01-11,98,5.6,English,Comedies
The Last Paradiso,romantic drama,2021-02-05,107,5.6,Italian,Romance
The Midnight Sky,sci-fi,2020-12-23,118,5.6,English,Sci-Fi
The Paramedic,thriller,2020-09-16,94,5.6,Spanish,Thrillers
The Sleepover,comedy,2020-08-21,103,5.6,English,Comedies
Vampires vs. the Bronx,horror comedy,2020-10-02,86,5.6,English,Horror & Mystery
Why Did You Kill Me?,documentary,2021-04-14,83,5.6,English,Documentary
A Week Away,drama musical,2021-03-26,97,5.7,English,Dramas
Caught by a Wave,romantic teen drama,2021-03-25,99,5.7,Italian,Romance
Christmas Inheritance,christmas romance,2017-12-15,104,5.7,English,Christmas
Dad Wanted,comedy drama,2020-09-11,102,5.7,Spanish,Comedies
El Camino Christmas,dark comedy,2017-12-08,89,5.7,English,Comedies
Eli,horror,2019-10-18,98,5.7,English,Horror & Mystery
Ginny Weds Sunny,romantic comedy,2020-10-09,125,5.7,Hindi,Romance
Good Sam,drama,2019-05-16,89,5.7,English,Dramas
Lionheart,comedy,2019-01-04,94,5.7,English,Comedies
Little Evil,comedy horror,2017-09-01,94,5.7,English,Comedies
One Take,documentary,2020-06-18,85,5.7,Thai,Documentary
"Out of Many, One",documentary,2018-12-12,34,5.7,English,Shorts
Point Blank,action,2019-07-12,86,5.7,English,Action & Adventure
Prime Time,thriller,2021-04-14,91,5.7,Polish,Thrillers
The Do-Over,action comedy,2016-05-27,108,5.7,English,Action & Adventure
The Holiday Calendar,christmas romance,2018-11-02,95,5.7,English,Christmas
The Woman in the Window,psychological thriller,2021-05-14,100,5.7,English,Thrillers
The Wrong Missy,comedy,2020-05-13,90,5.7,English,Comedies
Velvet Buzzsaw,thriller,2019-02-01,112,5.7,English,Thrillers
Yes Day,comedy,2021-03-12,86,5.7,English,Comedies
15 August,comedy drama,2019-03-29,124,5.8,Marathi,Comedies
A California Christmas,christmas romance,2020-12-14,107,5.8,English,Christmas
A Christmas Prince,christmas romance,2017-11-17,92,5.8,English,Christmas
All Day and a Night,drama,2020-05-01,121,5.8,English,Dramas
American Son,drama,2019-11-01,90,5.8,English,Dramas
Barry,biopic,2016-12-16,104,5.8,English,Dramas
Candy Jar,comedy,2018-04-27,92,5.8,English,Comedies
Choked: Paisa Bolta Hai,drama,2020-06-05,114,5.8,Hindi,Dramas
Class of '83,drama,2020-08-21,98,5.8,Hindi,Dramas
Extinction,sci-fi thriller,2018-07-27,95,5.8,English,Sci-Fi
Happy Anniversary,romantic comedy,2018-03-30,78,5.8,English,Romance
I Am All Girls,thriller,2021-05-14,107,5.8,English,Thrillers
Let It Snow,christmas romance,2019-11-08,92,5.8,English,Christmas
Mascots,mockumentary,2016-10-13,95,5.8,English,Documentary
Operation Christmas Drop,christmas romance,2020-11-05,96,5.8,English,Christmas
Rajma Chawal,comedy drama,2018-11-30,118,5.8,Hindi,Comedies
Rich in Love,romantic comedy,2020-04-30,105,5.8,Portuguese,Romance
Rising High,dark comedy,2020-04-17,94,5.8,German,Comedies
Rodney King,one man show,2017-04-28,52,5.8,English,Documentary
Sierra Burgess Is a Loser,romantic comedy,2018-09-07,105,5.8,English,Romance
Small Crimes,dark comedy,2017-04-28,95,5.8,English,Comedies
Special Correspondents,dark comedy,2016-04-29,100,5.8,English,Comedies
TAU,sci-fi thriller,2018-06-29,97,5.8,English,Sci-Fi
The After Party,comedy,2018-08-24,89,5.8,English,Comedies
The Babysitter: Killer Queen,comedy horror,2020-09-10,102,5.8,English,Comedies
The Claus Family,christmas comedy,2020-12-07,96,5.8,Dutch,Christmas
The Kissing Booth 2,romantic comedy,2020-07-24,131,5.8,English,Romance
The Perfect Date,romantic comedy,2019-04-12,89,5.8,English,Romance
What We Wanted,drama,2020-11-11,93,5.8,German,Dramas
You've Got This,romantic comedy,2020-10-02,111,5.8,Spanish,Romance
6 Balloons,drama,2018-04-06,75,5.9,English,Dramas
A Fall from Grace,thriller,2020-01-17,120,5.9,English,Thrillers
Amateur,sports drama,2018-04-06,96,5.9,English,Dramas
Army of the Dead,crime thriller,2021-05-21,148,5.9,English,Thrillers
Cam,psychological horror,2018-11-16,94,5.9,English,Horror & Mystery
Earthquake Bird,mystery,2019-11-15,107,5.9,English,Horror & Mystery
"Frankenstein's Monster's Monster, Frankenstein",mockumentary,2019-07-16,32,5.9,English,Shorts
Horse Girl,drama,2020-02-07,104,5.9,English,Dramas
Notes from Dunblane: Lesson from a School Shooting,documentary,2018-09-28,23,5.9,English,Shorts
Maska,romantic comedy,2020-03-27,111,5.9,Hindi,Romance
The Decline,thriller,2020-03-27,83,5.9,French,Thrillers
The Minimalists: Less Is Now,documentary,2021-01-01,53,5.9,English,Documentary
The Polka King,comedy drama,2018-01-12,95,5.9,English,Comedies
The Prom,comedy musical,2020-12-11,132,5.9,English,Comedies
True Memoirs of an International Assassin,action comedy,2016-11-11,98,5.9,English,Action & Adventure
Ultras,sports film,2020-03-20,108,5.9,Italian,Dramas
Come Sunday,biopic,2018-04-13,106,6.0,English,Dramas
Forgive Us Our Debts,drama,2018-05-04,104,6.0,Italian,Dramas
iBoy,sci-fi thriller,2017-01-27,90,6.0,English,Sci-Fi
Lovefucked,drama,2019-08-09,106,6.0,Hindi,Dramas
Juanita,drama,2019-03-08,90,6.0,English,Dramas
Murder Mystery,comedy mystery,2019-06-14,97,6.0,English,Comedies
Project Power,action comedy,2020-08-14,113,6.0,English,Action & Adventure
Rebecca,romantic thriller,2020-10-21,123,6.0,English,Romance
The Christmas Chronicles: Part Two,christmas comedy,2020-11-25,115,6.0,English,Christmas
The Kissing Booth,romantic comedy,2018-05-11,105,6.0,English,Romance
The Princess Switch,christmas romance,2018-11-16,101,6.0,English,Christmas
To All the Boys: P.S. I Still Love You,romantic comedy,2020-02-12,102,6.0,English,Romance
War Machine,action war,2017-05-26,122,6.0,English,Action & Adventure
6 Underground,action,2019-12-13,128,6.1,English,Action & Adventure
Between Two Ferns: The Movie,comedy,2019-09-20,82,6.1,English,Comedies
Burning Sands,drama,2017-03-10,102,6.1,English,Dramas
Casting JonBenet,documentary,2017-04-28,80,6.1,English,Documentary
Deidra & Laney Rob a Train,drama,2017-03-17,94,6.1,English,Dramas
Finding 'Ohana,adventure,2021-01-29,123,6.1,English,Action & Adventure
Holidate,christmas romance,2020-10-28,104,6.1,English,Christmas
Holiday in the Wild,adventure romance,2019-11-01,85,6.1,English,Action & Adventure
Hot Girls Wanted,documentary,2015-05-29,84,6.1,English,Documentary
Like Father,comedy,2018-08-03,103,6.1,English,Comedies
Lost Girls,crime drama,2020-03-13,95,6.1,English,Thrillers
Otherhood,comedy,2019-08-02,100,6.1,English,Comedies
Pee-wee's Big Holiday,adventure,2016-03-18,89,6.1,English,Action & Adventure
Rogue City,crime drama,2020-10-30,116,6.1,French,Thrillers
Sergio,biopic,2020-04-17,118,6.1,English,Dramas
Stuck Apart,drama,2021-01-08,96,6.1,Turkish,Dramas
Tersanjung the Movie,drama,2021-04-01,114,6.1,Indonesian,Dramas
The Killer,action western,2017-11-10,99,6.1,Portuguese,Action & Adventure
The Lovebirds,romantic comedy,2020-05-22,87,6.1,English,Romance
The Most Hated Woman in America,biopic,2017-03-24,92,6.1,English,Dramas
The Perfection,horror thriller,2019-05-24,90,6.1,English,Horror & Mystery
Tribhanga ÃÂ Tedhi Medhi Crazy,drama,2021-01-15,95,6.1,Hindi,Dramas
Unknown Origins,thriller,2020-08-28,96,6.1,Spanish,Thrillers
Work It,comedy drama,2020-08-07,93,6.1,English,Comedies
Alien Xmas,anime christmas,2020-11-20,42,6.2,English,Anime
Baggio: The Divine Ponytail,biopic,2021-05-26,92,6.2,Italian,Dramas
Below Zero,drama,2021-01-29,106,6.2,Spanish,Dramas
Citation,drama,2020-11-06,151,6.2,English,Dramas
Crazy Awesome Teachers,comedy drama,2020-08-17,101,6.2,Indonesian,Comedies
Have You Ever Seen Fireflies?,comedy,2021-04-09,114,6.2,Turkish,Comedies
High Flying Bird,sports drama,2019-02-08,90,6.2,English,Dramas
In the Shadow of the Moon,thriller,2019-09-27,115,6.2,English,Thrillers
Lost Bullet,thriller,2020-06-19,92,6.2,French,Thrillers
Octonauts & the Caves of Sac Actun,anime,2020-08-14,72,6.2,English,Anime
Offering to the Storm,thriller,2020-07-24,139,6.2,Spanish,Thrillers
Roxanne Roxanne,biopic,2018-03-23,98,6.2,English,Dramas
Someone Great,romantic comedy,2019-04-19,92,6.2,English,Romance
Spenser Confidential,action comedy,2020-03-06,111,6.2,English,Action & Adventure
The Land of Steady Habits,drama,2018-09-14,98,6.2,English,Dramas
The Rachel Divide,documentary,2018-04-27,104,6.2,English,Documentary
Voyuer ,documentary,2017-12-01,95,6.2,English,Documentary
Win It All,comedy,2017-04-07,88,6.2,English,Comedies
1922,horror crime drama,2017-10-20,102,6.3,English,Horror & Mystery
A Tale of Two Kitchens,documentary,2019-05-22,30,6.3,English/Spanish,Shorts
Alex Strangelove,romantic comedy,2018-06-08,99,6.3,English,Romance
Apostle,horror thriller,2018-10-12,129,6.3,English,Horror & Mystery
Benji,adventure,2018-03-16,87,6.3,English,Action & Adventure
Bright,action fantasy,2017-12-22,117,6.3,English,Action & Adventure
Cargo,drama horror,2018-05-18,104,6.3,English,Dramas
Concrete Cowboy,drama,2021-04-02,111,6.3,English,Dramas
Feel the Beat,adventure,2020-06-19,107,6.3,English,Action & Adventure
Get the Goat,comedy,2021-03-18,97,6.3,Portuguese,Comedies
I Am Not an Easy Man,romantic comedy,2018-04-13,98,6.3,French,Romance
June & Kopi,drama,2021-01-28,90,6.3,Indonesian,Dramas
Music Teacher,drama,2019-04-19,101,6.3,Hindi,Dramas
Nail Bomber: Manhunt,documentary,2021-05-26,72,6.3,English,Documentary
Notes for My Son,drama,2020-11-24,83,6.3,Spanish,Dramas
Polar,action,2019-01-25,118,6.3,English,Action & Adventure
Porta dos Fundos: The Last Hangover,comedy,2018-12-21,44,6.3,Portuguese,Comedies
Sand Castle,action war,2017-04-21,113,6.3,English,Action & Adventure
Shimmer Lake,crime thriller,2017-06-09,86,6.3,English,Thrillers
Spectral,sci-fi action,2016-12-09,108,6.3,English,Sci-Fi
The Babysitter,teen comedy horror,2017-10-13,85,6.3,English,Comedies
The Discovery,sci-fi drama,2017-03-31,102,6.3,English,Sci-Fi
The Forest of Love,drama,2019-10-11,151,6.3,Japanese,Dramas
The Laundromat,comedy drama,2019-10-18,98,6.3,English,Comedies
The Legend of Cocaine Island,documentary,2019-03-29,87,6.3,English,Documentary
The Outsider,crime drama,2018-03-09,120,6.3,English/Japanese,Thrillers
Time to Hunt,thriller,2020-04-23,134,6.3,Korean,Thrillers
To All the Boys: Always and Forever,romantic comedy,2021-02-12,109,6.3,English,Romance
Travis Scott: Look Mom I Can Fly,documentary,2019-08-28,85,6.3,English,Documentary
Uncorked,drama,2020-03-27,103,6.3,English,Dramas
Anelka: Misunderstood,documentary,2020-08-05,94,6.4,French,Documentary
"Ariana Grande: Excuse Me, I Love You",concert film,2020-12-21,97,6.4,English,Documentary
ARQ,sci-fi thriller,2016-09-16,88,6.4,English,Sci-Fi
Birders,documentary,2019-09-25,37,6.4,English/Spanish,Shorts
Como CaÃÂ­do del Cielo,comedy musical,2019-12-24,112,6.4,Spanish,Comedies
First Match,sports drama,2018-03-30,102,6.4,English,Dramas
Fractured,thriller,2019-10-11,100,6.4,English,Thrillers
Irreplaceable You,drama,2018-02-16,96,6.4,English,Dramas
Isi & Ossi,romantic comedy,2020-02-14,113,6.4,German,Romance
John Was Trying to Contact Aliens,documentary,2020-08-20,16,6.4,English,Shorts
Layla Majnun,romantic drama,2021-02-11,119,6.4,Indonesian,Romance
Murder to Mercy: The Cyntoia Brown Story,documentary,2020-04-29,97,6.4,English,Documentary
My Own Man,documentary,2014-12-13,81,6.4,English,Documentary
Nappily Ever After,comedy drama,2018-09-21,98,6.4,English,Comedies
Over the Moon,anime musical,2020-10-23,95,6.4,English,Anime
Street Flow,drama,2019-10-12,96,6.4,French,Dramas
Strong Island,documentary,,107,6.4,English,Documentary
Sturgill Simpson Presents: Sound & Fury,anime musical,2019-09-27,41,6.4,English,Anime
Take Your Pills,documentary,2018-03-16,87,6.4,English,Documentary
The Heartbreak Club,comedy drama,2021-01-14,101,6.4,Indonesian,Comedies
The Mars Generation,documentary,2017-05-05,97,6.4,English,Documentary
The Occupant,thriller,2020-03-25,103,6.4,Spanish,Thrillers
The Willoughbys,anime comedy,2020-04-22,90,6.4,English,Anime
Triple Frontier,action thriller,2019-03-13,125,6.4,English,Action & Adventure
Two Catalonias,documentary,2018-09-28,116,6.4,Spanish/Catalan,Documentary
Walk. Ride. Rodeo.,drama,2019-03-08,99,6.4,English,Dramas
Wheelman,action thriller,2017-10-20,82,6.4,English,Action & Adventure
When We First Met,romantic comedy,2018-02-09,97,6.4,English,Romance
A 3 Minute Hug,documentary,2019-10-28,28,6.5,English/Spanish,Shorts
All the Bright Places,romance,2020-02-28,108,6.5,English,Romance
All Together Now,drama,2020-08-28,93,6.5,English,Dramas
Altered Carbon: Resleeved,anime sci-fi,2020-03-19,74,6.5,Japanese,Anime
Antoine Griezmann: The Making of a Legend,documentary,2019-03-21,60,6.5,French,Documentary
Canvas ,anime short,2020-12-11,9,6.5,English,Shorts
Chadwick Boseman: Portrait of an Artist,documentary,2021-04-17,21,6.5,English,Shorts
Chopsticks,comedy,2019-05-31,100,6.5,Hindi,Comedies
Da 5 Bloods,action war,2020-06-12,155,6.5,English,Action & Adventure
Dolly Parton: A MusiCares Tribute,documentary,2021-04-07,55,6.5,English,Documentary
Eurovision Song Contest: The Story of Fire Saga,comedy musical,2020-06-26,123,6.5,English,Comedies
Gerald's Game,horror thriller,2017-09-29,103,6.5,English,Horror & Mystery
His House,thriller,2020-10-30,93,6.5,English,Thrillers
Jingle Jangle: A Christmas Journey,christmas musical,2020-11-13,119,6.5,English,Christmas
Life Overtakes Me,documentary,2019-06-14,40,6.5,English/Swedish,Documentary
Lust Stories,drama,2018-06-15,120,6.5,Hindi,Dramas
Monster,drama,2021-05-07,98,6.5,English,Dramas
Mowgli: Legend of the Jungle,adventure,2018-12-07,104,6.5,English,Action & Adventure
Nobody Knows I'm Here,drama,2020-06-24,91,6.5,Spanish,Dramas
Nobody Speak: Trials of the Free Press,documentary,2017-06-23,95,6.5,English,Documentary
Oxygen,sci-fi thriller,2021-05-12,101,6.5,French,Sci-Fi
Set It Up,romantic comedy,2018-06-15,105,6.5,English,Romance
The Incredible Jessica James,comedy,2017-07-28,83,6.5,English,Comedies
Tigertail,drama,2020-04-10,91,6.5,English/Taiwanese/Mandarin,Dramas
Tramps,romance,2017-04-21,83,6.5,English,Romance
What Did Jack Do?,drama short,2020-01-20,17,6.5,English,Shorts
Bad Trip,hidden camera prank comedy,2021-03-26,86,6.6,English,TV show
Bird Box,psychological thriller,2018-12-21,124,6.6,English,Thrillers
Bulbbul,horror,2020-06-24,94,6.6,Hindi,Horror & Mystery
Crazy About Her,romantic comedy,2021-02-26,102,6.6,Spanish,Romance
Elisa & Marcela,romance,2019-06-07,118,6.6,Spanish,Romance
I'll Sleep When I'm Dead,documentary,2016-08-19,79,6.6,English,Documentary
I'm Thinking of Ending Things,psychological thriller,2020-09-04,134,6.6,English,Thrillers
It Takes a Lunatic,documentary,2019-10-25,126,6.6,English,Documentary
Milestone,drama,2021-05-07,98,6.6,Hindi,Dramas
Recovery Boys,documentary,2018-06-29,89,6.6,English,Documentary
ReMastered: Who Killed Jam Master Jay?,documentary,2018-12-07,58,6.6,English,Documentary
Shawn Mendes: In Wonder,documentary,2020-11-23,83,6.6,English,Documentary
Space Sweepers,sci-fi,2021-02-05,136,6.6,Korean,Sci-Fi
The American Meme,documentary,2018-12-07,98,6.6,English,Documentary
The Angel,spy thriller,2018-09-14,114,6.6,English,Thrillers
The Crimes That Bind,crime drama,2020-08-20,99,6.6,Spanish,Thrillers
The Red Sea Diving Resort,spy thriller,2019-07-31,130,6.6,English,Thrillers
What Would Sophia Loren Do?,documentary,2021-01-15,32,6.6,English,Shorts
A Whisker Away,anime fantasy,2020-06-18,104,6.7,Japanese,Anime
Ajeeb Daastaans,drama,2021-04-16,142,6.7,Hindi,Dramas
Arlo the Alligator Boy,anime comedy,2021-04-16,92,6.7,English,Anime
"Bikram: Yogi, Guru, Predator",documentary,2019-11-20,86,6.7,English,Documentary
Blame!,anime sci-fi,2017-05-20,106,6.7,Japanese,Anime
Blue Miracle,drama,2021-05-27,95,6.7,English,Dramas
CounterPunch ,documentary,2017-06-16,91,6.7,English,Documentary
"Crack: Cocaine, Corruption & Conspiracy",documentary,2021-01-11,89,6.7,English,Documentary
Extraction,action,2020-04-24,117,6.7,English,Action & Adventure
Giving Voice,documentary,2020-12-11,90,6.7,English,Documentary
Hillbilly Elegy,drama,2020-11-24,117,6.7,English,Dramas
Hope Frozen: A Quest to Live Twice,documentary,2020-09-15,80,6.7,Thia/English,Documentary
Imperial Dreams,drama,2017-02-03,87,6.7,English,Dramas
Just Another Christmas,christmas comedy,2020-12-03,101,6.7,Portuguese,Christmas
Little Miss Sumo,documentary,2019-10-28,19,6.7,Japanese,Shorts
Malcolm & Marie,romantic drama,2021-02-05,106,6.7,English,Romance
"Michael Bolton's Big, Sexy, Valentine's Day Special",variety show,2017-02-07,54,6.7,English,TV show
Moxie,drama,2021-03-03,111,6.7,English,Dramas
Night in Paradise,drama,2021-04-09,132,6.7,Korean,Dramas
Paper Lives,drama,2021-03-12,97,6.7,Turkish,Dramas
Parchis: The Documentary,documentary,2019-07-10,106,6.7,Spanish,Documentary
Tallulah,comedy drama,2016-07-29,111,6.7,English,Comedies
The Old Guard,action comedy,2020-07-10,124,6.7,English,Action & Adventure
Tony Robbins: I Am Not Your Guru,documentary,,116,6.7,English,Documentary
Upstarts,drama,2019-10-18,112,6.7,Hindi,Dramas
22 July,drama,2018-10-10,144,6.8,English,Dramas
7 aÃÂ±os,drama,2016-10-28,76,6.8,Spanish,Dramas
A Futile and Stupid Gesture,biographical comedy,2018-01-26,101,6.8,English,Dramas
